t_sec      qx           qy           qz           qw
 31.000  -0.876751773  -0.028050768   0.123438261   0.463985430
 31.250  -0.876832865  -0.028179522   0.123626822   0.463774138
 31.500  -0.876913739  -0.028308190   0.123815247   0.463563076
 31.750  -0.876994396  -0.028436771   0.124003537   0.463352245
 32.000  -0.877074835  -0.028565267   0.124191692   0.463141645
 32.250  -0.877155057  -0.028693676   0.124379712   0.462931276
 32.500  -0.877235062  -0.028822000   0.124567597   0.462721138
 32.750  -0.877314850  -0.028950237   0.124755347   0.462511233
 33.000  -0.877394422  -0.029078388   0.124942961   0.462301559
 33.250  -0.877473778  -0.029206452   0.125130440   0.462092118
 33.500  -0.877552917  -0.029334431   0.125317784   0.461882910
 33.750  -0.877631840  -0.029462323   0.125504993   0.461673934
 34.000  -0.877710548  -0.029590129   0.125692067   0.461465192
 34.250  -0.877789040  -0.029717849   0.125879005   0.461256683
 34.500  -0.877867316  -0.029845483   0.126065808   0.461048408
 34.750  -0.877945378  -0.029973030   0.126252476   0.460840366
 35.000  -0.878023225  -0.030100491   0.126439008   0.460632559
 35.250  -0.878100857  -0.030227867   0.126625405   0.460424987
 35.500  -0.878178274  -0.030355155   0.126811667   0.460217649
 35.750  -0.878255477  -0.030482358   0.126997794   0.460010546
 36.000  -0.878332467  -0.030609474   0.127183785   0.459803679
 36.250  -0.878409242  -0.030736505   0.127369641   0.459597047
 36.500  -0.878485804  -0.030863449   0.127555362   0.459390651
 36.750  -0.878562152  -0.030990306   0.127740948   0.459184491
 37.000  -0.878638287  -0.031117078   0.127926398   0.458978567
 37.250  -0.878714209  -0.031243763   0.128111713   0.458772880
 37.500  -0.878789918  -0.031370362   0.128296892   0.458567429
 37.750  -0.878865415  -0.031496875   0.128481937   0.458362216
 38.000  -0.878940699  -0.031623302   0.128666846   0.458157240
 38.250  -0.879015771  -0.031749642   0.128851620   0.457952502
 38.500  -0.879090631  -0.031875896   0.129036258   0.457748002
 38.750  -0.879165280  -0.032002064   0.129220762   0.457543740
 39.000  -0.879239716  -0.032128146   0.129405130   0.457339716
 39.250  -0.879313942  -0.032254142   0.129589363   0.457135931
 39.500  -0.879387956  -0.032380051   0.129773460   0.456932384
 39.750  -0.879461760  -0.032505874   0.129957422   0.456729077
 40.000  -0.879535352  -0.032631611   0.130141249   0.456526009
 40.250  -0.879608734  -0.032757262   0.130324941   0.456323181
 40.500  -0.879681906  -0.032882826   0.130508498   0.456120593
 40.750  -0.879754868  -0.033008305   0.130691919   0.455918245
 41.000  -0.879827620  -0.033133697   0.130875205   0.455716138
 41.250  -0.879900162  -0.033259003   0.131058356   0.455514271
 41.500  -0.879972495  -0.033384222   0.131241372   0.455312645
 41.750  -0.880044618  -0.033509356   0.131424253   0.455111260
 42.000  -0.880116533  -0.033634403   0.131606998   0.454910116
 42.250  -0.880188238  -0.033759364   0.131789608   0.454709214
 42.500  -0.880259735  -0.033884239   0.131972084   0.454508554
 42.750  -0.880331024  -0.034009028   0.132154424   0.454308137
 43.000  -0.880402104  -0.034133730   0.132336629   0.454107961
 43.250  -0.880472976  -0.034258347   0.132518699   0.453908028
 43.500  -0.880543641  -0.034382877   0.132700633   0.453708338
 43.750  -0.880614098  -0.034507321   0.132882433   0.453508892
 44.000  -0.880684347  -0.034631679   0.133064098   0.453309688
 44.250  -0.880754389  -0.034755950   0.133245627   0.453110728
 44.500  -0.880824225  -0.034880136   0.133427022   0.452912012
 44.750  -0.880893853  -0.035004235   0.133608282   0.452713540
 45.000  -0.880963275  -0.035128248   0.133789406   0.452515313
 45.250  -0.881032491  -0.035252175   0.133970396   0.452317330
 45.500  -0.881101501  -0.035376016   0.134151251   0.452119591
 45.750  -0.881170304  -0.035499771   0.134331971   0.451922098
 46.000  -0.881238902  -0.035623439   0.134512556   0.451724850
 46.250  -0.881307294  -0.035747022   0.134693006   0.451527848
 46.500  -0.881375481  -0.035870518   0.134873321   0.451331091
 46.750  -0.881443463  -0.035993928   0.135053502   0.451134581
 47.000  -0.881511240  -0.036117252   0.135233548   0.450938316
 47.250  -0.881578813  -0.036240490   0.135413458   0.450742298
